,.SPX
18/12/2023,4698.35
19/12/2023,4698.35
20/12/2023,4698.35
21/12/2023,4746.75
22/12/2023,4754.63
22/12/2023,4754.63
26/12/2023,4774.75
27/12/2023,4781.58
28/12/2023,4783.35
29/12/2023,4769.83
29/12/2023,4769.83
2/1/2024,4742.83
3/1/2024,4704.81
4/1/2024,4688.68
5/1/2024,4697.24
8/1/2024,4763.54
9/1/2024,4756.5
10/1/2024,4783.45
11/1/2024,4780.24
12/1/2024,4783.83
12/1/2024,4783.83
16/1/2024,4765.98
17/1/2024,4739.21
18/1/2024,4780.94
19/1/2024,4839.81
22/1/2024,4850.43
23/1/2024,4864.6
24/1/2024,4868.55
25/1/2024,4894.16
26/1/2024,4890.97
29/1/2024,4927.93
30/1/2024,4924.97
31/1/2024,4845.65
1/2/2024,4906.19
2/2/2024,4958.61
5/2/2024,4942.81
6/2/2024,4954.23
7/2/2024,4995.06
8/2/2024,4997.91
9/2/2024,5026.61
12/2/2024,5021.84
13/2/2024,4953.17
14/2/2024,5000.62
15/2/2024,5029.73
16/2/2024,5005.57
16/2/2024,5005.57
20/2/2024,4975.51
21/2/2024,4981.8
22/2/2024,5087.03
23/2/2024,5088.8
26/2/2024,5069.53
27/2/2024,5078.18
28/2/2024,5069.76
29/2/2024,5096.27
1/3/2024,5137.08
4/3/2024,5130.95
5/3/2024,5078.65
6/3/2024,5104.76
7/3/2024,5157.36
8/3/2024,5123.69
11/3/2024,5117.94
12/3/2024,5175.27
13/3/2024,5165.31
14/3/2024,5150.48
15/3/2024,5117.09
18/3/2024,5149.42
19/3/2024,5178.51
20/3/2024,5224.62
21/3/2024,5241.53
22/3/2024,5234.18
25/3/2024,5218.19
26/3/2024,5203.58
27/3/2024,5248.49
28/3/2024,5254.35
28/3/2024,5254.35
1/4/2024,5243.77
2/4/2024,5205.81
3/4/2024,5211.49
4/4/2024,5147.21
5/4/2024,5204.34
8/4/2024,5202.39
9/4/2024,5209.91
10/4/2024,5160.64
11/4/2024,5199.06
12/4/2024,5123.41
15/4/2024,5061.82
16/4/2024,5051.41
17/4/2024,5022.21
18/4/2024,5011.12
19/4/2024,4967.23
22/4/2024,5010.6
23/4/2024,5070.55
24/4/2024,5071.63
25/4/2024,5048.42
26/4/2024,5099.96
29/4/2024,5116.17
30/4/2024,5035.69
1/5/2024,5018.39
2/5/2024,5064.2
3/5/2024,5127.79
6/5/2024,5180.74
7/5/2024,5187.7
8/5/2024,5187.67
9/5/2024,5214.08
10/5/2024,5222.68
13/5/2024,5221.42
14/5/2024,5246.68
15/5/2024,5308.15
16/5/2024,5297.1
17/5/2024,5303.27
20/5/2024,5308.13
21/5/2024,5321.41
22/5/2024,5307.01
23/5/2024,5267.84
24/5/2024,5304.72
24/5/2024,5304.72
28/5/2024,5306.04
29/5/2024,5266.95
30/5/2024,5235.48
31/5/2024,5277.51
3/6/2024,5283.4
4/6/2024,5291.34
5/6/2024,5354.03
6/6/2024,5352.96
7/6/2024,5346.99
10/6/2024,5360.79
11/6/2024,5375.32
12/6/2024,5421.03
13/6/2024,5433.74
14/6/2024,5431.6
17/6/2024,5473.23
18/6/2024,5487.03
18/6/2024,5487.03
20/6/2024,5473.17
21/6/2024,5464.62
24/6/2024,5447.87
25/6/2024,5469.3
26/6/2024,5477.9
27/6/2024,5482.87
28/6/2024,5460.48
1/7/2024,5475.09
2/7/2024,5509.01
3/7/2024,5537.02
3/7/2024,5537.02
5/7/2024,5567.19
8/7/2024,5572.85
9/7/2024,5576.98
10/7/2024,5633.91
11/7/2024,5584.54
12/7/2024,5615.35
15/7/2024,5631.22
